doc_id,section,market,filer_name,cat,gold,auto,labels
S100XVCR,報酬,スタンダード,アップルインターナショナル株式会社,会計数字,0,0,
S100XVCR,報酬,スタンダード,アップルインターナショナル株式会社,財務比率,0,0,
S100XVCR,報酬,スタンダード,アップルインターナショナル株式会社,非財務指標,0,0,
S100XVCR,報酬,スタンダード,アップルインターナショナル株式会社,株価関連指標,0,0,
S100XVCR,方針,スタンダード,アップルインターナショナル株式会社,会計数字,1,1,"ROE,売上高成長率,経常利益率"
S100XVCR,方針,スタンダード,アップルインターナショナル株式会社,財務比率,1,1,"ROE,売上高成長率,経常利益率"
S100XVCR,方針,スタンダード,アップルインターナショナル株式会社,非財務指標,0,0,"ROE,売上高成長率,経常利益率"
S100XVCR,方針,スタンダード,アップルインターナショナル株式会社,株価関連指標,0,0,"ROE,売上高成長率,経常利益率"
S100Y0TR,報酬,スタンダード,シリウスビジョン株式会社,会計数字,0,0,
S100Y0TR,報酬,スタンダード,シリウスビジョン株式会社,財務比率,0,0,
S100Y0TR,報酬,スタンダード,シリウスビジョン株式会社,非財務指標,0,0,
S100Y0TR,報酬,スタンダード,シリウスビジョン株式会社,株価関連指標,0,0,
S100Y0TR,方針,スタンダード,シリウスビジョン株式会社,会計数字,0,0,
S100Y0TR,方針,スタンダード,シリウスビジョン株式会社,財務比率,0,0,
S100Y0TR,方針,スタンダード,シリウスビジョン株式会社,非財務指標,0,0,
S100Y0TR,方針,スタンダード,シリウスビジョン株式会社,株価関連指標,0,0,
S100YFOK,報酬,スタンダード,ジーエルテクノホールディングス株式会社,会計数字,0,0,
S100YFOK,報酬,スタンダード,ジーエルテクノホールディングス株式会社,財務比率,0,0,
S100YFOK,報酬,スタンダード,ジーエルテクノホールディングス株式会社,非財務指標,0,0,
S100YFOK,報酬,スタンダード,ジーエルテクノホールディングス株式会社,株価関連指標,0,0,
S100YFOK,方針,スタンダード,ジーエルテクノホールディングス株式会社,会計数字,1,1,"ROE,営業利益,営業利益率,売上高"
S100YFOK,方針,スタンダード,ジーエルテクノホールディングス株式会社,財務比率,1,1,"ROE,営業利益,営業利益率,売上高"
S100YFOK,方針,スタンダード,ジーエルテクノホールディングス株式会社,非財務指標,0,0,"ROE,営業利益,営業利益率,売上高"
S100YFOK,方針,スタンダード,ジーエルテクノホールディングス株式会社,株価関連指標,0,0,"ROE,営業利益,営業利益率,売上高"
S100YFSH,報酬,スタンダード,ダイニック株式会社,会計数字,0,0,
S100YFSH,報酬,スタンダード,ダイニック株式会社,財務比率,0,0,
S100YFSH,報酬,スタンダード,ダイニック株式会社,非財務指標,0,0,
S100YFSH,報酬,スタンダード,ダイニック株式会社,株価関連指標,0,0,
S100YFSH,方針,スタンダード,ダイニック株式会社,会計数字,1,1,"ESG,ROE,営業利益,売上高,女性管理職比率,当期純利益,経常利益,経常利益率,脱炭素/温室効果ガス"
S100YFSH,方針,スタンダード,ダイニック株式会社,財務比率,1,1,"ESG,ROE,営業利益,売上高,女性管理職比率,当期純利益,経常利益,経常利益率,脱炭素/温室効果ガス"
S100YFSH,方針,スタンダード,ダイニック株式会社,非財務指標,0,1,"ESG,ROE,営業利益,売上高,女性管理職比率,当期純利益,経常利益,経常利益率,脱炭素/温室効果ガス"
S100YFSH,方針,スタンダード,ダイニック株式会社,株価関連指標,0,0,"ESG,ROE,営業利益,売上高,女性管理職比率,当期純利益,経常利益,経常利益率,脱炭素/温室効果ガス"
S100XN95,報酬,スタンダード,ホリイフードサービス株式会社,会計数字,0,0,
S100XN95,報酬,スタンダード,ホリイフードサービス株式会社,財務比率,0,0,
S100XN95,報酬,スタンダード,ホリイフードサービス株式会社,非財務指標,0,0,
S100XN95,報酬,スタンダード,ホリイフードサービス株式会社,株価関連指標,0,0,
S100XN95,方針,スタンダード,ホリイフードサービス株式会社,会計数字,1,1,"EBITDA,エンゲージメント,売上高比"
S100XN95,方針,スタンダード,ホリイフードサービス株式会社,財務比率,1,1,"EBITDA,エンゲージメント,売上高比"
S100XN95,方針,スタンダード,ホリイフードサービス株式会社,非財務指標,0,1,"EBITDA,エンゲージメント,売上高比"
S100XN95,方針,スタンダード,ホリイフードサービス株式会社,株価関連指標,0,0,"EBITDA,エンゲージメント,売上高比"
S100X5M8,報酬,スタンダード,ミクロン精密株式会社,会計数字,0,0,
S100X5M8,報酬,スタンダード,ミクロン精密株式会社,財務比率,0,0,
S100X5M8,報酬,スタンダード,ミクロン精密株式会社,非財務指標,0,0,
S100X5M8,報酬,スタンダード,ミクロン精密株式会社,株価関連指標,0,0,
